"Sample"	"TP142"	"TP152"	"TP174"	"TP325"	"TP326"	"TP330"	"TP341"	"TP406"	"TP434"	"TP45"	"TP80B"	
"MDDM18"	"135,135"	"156,156"	"167,167"	"162,162"	"216,216"	"356,356"	"323,323"	"216,216"	"169,169"	"382,382"	"220,220"	
"MDDM19"	"135,135"	"154,154"	"167,167"		"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"217,217"	
"MDDM20"	"135,135"	"156,156"	"167,167"	"162,162"	"216,216"	"356,356"	"308,308"	"216,216"	"169,169"	"382,382"	"220,220"	
"MDDM21"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"217,217"	
"MDDM23"	"135,135"	"156,156"	"167,167"	"162,162"	"216,216"	"356,356"	"308,308"	"216,216"	"169,169"	"382,382"	"220,220"	
"MDDM25"	"135,135"	"156,156"	"167,167"	"162,162"	"216,216"	"356,356"	"308,308"	"216,216"	"169,169"	"382,382"	"220,220"	
"MOBS01"	"145,145"	"154,154"	"170,170"	"153,153"	"226,226"	"356,356"	"308,308"	"213,213"	"163,163"	"368,368"	"220,220"	
"MOBS02"	"145,145"	"154,154"	"170,170"	"153,153"	"226,226"	"356,356"	"308,308"	"213,213"	"163,163"	"382,382"	"211,211"	
"MOBS03"												
"MOBS04"	"145,145"	"154,154"	"170,170"	"153,153"	"226,226"	"356,356"	"308,308"	"213,213"	"163,163"	"368,368"	"220,220"	
"MOBS05"												
"MOBS07"	"145,145"	"154,154"	"170,170"	"153,153"	"226,226"	"356,356"	"308,308"	"213,213"	"163,163"	"368,368"	"220,220"	
"MOBS08"	"145,145"	"154,154"	"170,170"	"165,165"	"226,226"	"356,356"	"308,308"	"216,216"	"163,163"	"368,368"	"211,211"	
"MOBS09"	"145,145"	"154,154"	"170,170"	"153,153"	"226,226"	"356,356"	"308,308"	"216,216"	"163,163"	"368,368"	"220,220"	
"MOBS10"	"145,145"	"154,154"	"170,170"	"165,165"	"226,226"	"356,356"	"308,308"	"216,216"	"163,163"	"368,368"	"211,211"	
"MOBS11"	"145,145"	"154,154"	"170,170"	"153,153"	"226,226"	"356,356"	"308,308"	"216,216"	"163,163"	"368,368"	"220,220"	
"MOBS12"	"145,145"	"154,154"		"165,165"	"226,226"		"308,308"	"216,216"	"163,163"	"368,368"	"211,211"	
"MOBS13"	"145,145"	"154,154"	"170,170"	"153,153"	"226,226"	"356,356"	"308,308"	"213,213"	"163,163"	"368,368"	"211,211"	
